ddd:011005724:mpeg21:a0014	1879	Rotterdamsche courant	Advertentie	advertentie	0.6770833333333334	nl	12_Bagger_OCR	\N	Regionaal/lokaal	\N	\N
MMCODA01:000154599:mpeg21:a0033	1927	Nieuwe Apeldoornsche courant	Advertentie	advertentie	0.7361963190184049	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMCODA01:000154603:mpeg21:a0042	1927	Nieuwe Apeldoornsche courant	Advertentie	advertentie	0.7593360995850622	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMCODA01:000154604:mpeg21:a0030	1927	Nieuwe Apeldoornsche courant	Advertentie	advertentie	0.5777777777777777	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMDA03:000111726:mpeg21:a0124	1926	Provinciale Drentsche en Asser courant	Advertentie	advertentie	0.8109965635738832	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMDA03:000111732:mpeg21:a0097	1926	Provinciale Drentsche en Asser courant	L. W. VOPEL	advertentie	0.5974025974025974	de	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMGAVL01:000007011:mpeg21:a0026	1921	Nieuwe Venlosche courant	Advertentie	advertentie	0.7807017543859649	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000137559:mpeg21:a0064	1909	Haagsche courant	Advertentie	advertentie	0.8231511254019293	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
ddd:010668194:mpeg21:a0015	1920	Nieuwsblad van het Noorden	Gemengde berichten.	artikel	0.9128959276018099	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMCODA01:000157413:mpeg21:a0047	1935	Nieuwe Apeldoornsche courant	BINNENLAND. EEN ARBEIDSBEURS VOOR CHAUFFEURS.	artikel	0.9073569482288828	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMDA03:000098347:mpeg21:a0004	1883	Provinciale Drentsche en Asser courant	BINNENLAND. ASSEN, 19 Maart.	artikel	0.957205465326115	nl	05_Pest_control	\N	Regionaal/lokaal	\N	\N
MMDA03:000110359:mpeg21:a0034	1921	Provinciale Drentsche en Asser courant	ALLERLEI.	artikel	0.9033816425120773	nl	01_Natural_history	\N	Regionaal/lokaal	\N	\N
MMDA03:000111455:mpeg21:a0046	1922	Provinciale Drentsche en Asser courant	Natuurgenot.	artikel	0.9367760617760618	nl	01_Natural_history	\N	Regionaal/lokaal	\N	\N
MMGAVL01:000011024:mpeg21:a0015	1927	Nieuwe Venlosche courant	LATERE BERICHTEN.	artikel	0.8794541319181198	nl	01_Natural_history	\N	Regionaal/lokaal	\N	\N
MMDA03:000112215:mpeg21:a0037	1929	Provinciale Drentsche en Asser courant	Vopel	advertentie	0.5348837209302325	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMDA03:000112242:mpeg21:a0029	1929	Provinciale Drentsche en Asser courant	Vopel	advertentie	0.6071428571428571	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMDA03:000113266:mpeg21:a0021	1928	Provinciale Drentsche en Asser courant	Pelterijenhuis VOPEL	advertentie	0.5405405405405406	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMGARO01:000171841:mpeg21:a0019	1917	De grondwet	Advertentie	advertentie	0.80625	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMGARO01:000171845:mpeg21:a0016	1917	De grondwet	Advertentie	advertentie	0.7664670658682635	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMGARO01:000180128:mpeg21:a0040	1910	De grondwet	PELTERIJEN	advertentie	0.7307692307692307	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMGAVL01:000000212:mpeg21:a0033	1872	Venloosch weekblad	Advertentie	advertentie	0.8058659217877095	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMGAVL01:000001044:mpeg21:a0018	1875	Venloosch weekblad	Advertentie	advertentie	0.8941908713692946	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMGAVL01:000007009:mpeg21:a0035	1921	Nieuwe Venlosche courant	Advertentie	advertentie	0.8770685579196218	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMGAVL01:000010445:mpeg21:a0025	1928	Nieuwe Venlosche courant	Advertentie	advertentie	0.8535564853556485	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMGAVL01:000011583:mpeg21:a0023	1915	Nieuwe Venlosche courant	Advertentie	advertentie	0.7628865979381443	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMGAVL01:000012758:mpeg21:a0038	1930	Nieuwe Venlosche courant	Advertentie	advertentie	0.6974789915966386	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMDA03:000112461:mpeg21:a0036	1925	Provinciale Drentsche en Asser courant	DE JACHTWET 1923. BINNENLAND	artikel	0.9314516129032258	nl	01_Natural_history	\N	Regionaal/lokaal	\N	\N
MMGAVL01:000006972:mpeg21:a0050	1921	Nieuwe Venlosche courant	Als de natuur roept.	artikel	0.9295774647887324	nl	01_Natural_history	\N	Regionaal/lokaal	\N	\N
MMGAVL01:000012738:mpeg21:a0016	1930	Nieuwe Venlosche courant	STADSNIEUWS GRAND-THEATER.	artikel	0.9042690815006468	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMHCO01:000066673:mpeg21:a0010	1873	Provinciale Overijsselsche en Zwolsche courant	Advertentie	advertentie	0.8603988603988604	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMHCO01:000066699:mpeg21:a0013	1873	Provinciale Overijsselsche en Zwolsche courant	Pelterijen-magazijn	advertentie	0.6744186046511628	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMHCO01:000077478:mpeg21:a0041	1910	Provinciale Overijsselsche en Zwolsche courant	Advertentie	advertentie	0.8353658536585366	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMHCO01:000077516:mpeg21:a0029	1906	Provinciale Overijsselsche en Zwolsche courant	Advertentie	advertentie	0.8423236514522822	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMHCO01:000077577:mpeg21:a0014	1907	Provinciale Overijsselsche en Zwolsche courant	Advertentie	advertentie	0.7485714285714286	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMHCO01:000077892:mpeg21:a0020	1910	Provinciale Overijsselsche en Zwolsche courant	Advertentie	advertentie	0.7454545454545455	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMHCO01:000077894:mpeg21:a0051	1910	Provinciale Overijsselsche en Zwolsche courant	Advertentie	advertentie	0.8	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMHCO01:000077926:mpeg21:a0046	1910	Provinciale Overijsselsche en Zwolsche courant	Advertentie	advertentie	0.8012820512820513	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMHCO01:000078432:mpeg21:a0018	1909	Provinciale Overijsselsche en Zwolsche courant	Advertentie	advertentie	0.7456140350877193	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMHCO01:000078433:mpeg21:a0070	1909	Provinciale Overijsselsche en Zwolsche courant	Advertentie	advertentie	0.8583333333333333	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMHCO01:000078506:mpeg21:a0047	1909	Provinciale Overijsselsche en Zwolsche courant	Advertentie	advertentie	0.8628158844765343	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMHCO01:000079422:mpeg21:a0017	1914	Provinciale Overijsselsche en Zwolsche courant	Inventaris-Opruiming.	advertentie	0.7507788161993769	nl	12_Bagger_OCR	\N	Regionaal/lokaal	\N	\N
MMGAVL01:000012773:mpeg21:a0020	1930	Nieuwe Venlosche courant	STADSNIEUWS EEREWACHT H. SACRAMENT DES ALTAARS.	artikel	0.8763440860215054	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMGAVL01:000014193:mpeg21:a0043	1931	Nieuwe Venlosche courant	HET NIEUWE MISSIEMUSEUM TE STEYL. De officieele inwijding.	artikel	0.9174757281553398	nl	01_Natural_history	\N	Regionaal/lokaal	\N	\N
MMHCO01:000061846:mpeg21:a0008	1882	Provinciale Overijsselsche en Zwolsche courant	BINNENLAND.	artikel	0.9518617021276595	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000130230:mpeg21:a0021	1908	Haagsche courant	GEFORCEERDE UITVERKOOP,	advertentie	0.7881773399014779	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000132710:mpeg21:a0028	1907	Haagsche courant	Advertentie	advertentie	0.7192982456140351	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000132735:mpeg21:a0056	1907	Haagsche courant	Advertentie	advertentie	0.7669902912621359	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000132746:mpeg21:a0018	1907	Haagsche courant	Totale Uitverkoop	advertentie	0.8737864077669902	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000132750:mpeg21:a0012	1907	Haagsche courant	GROOTE UITVERKOOP,	advertentie	0.8181818181818182	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
MMKB04:000132967:mpeg21:a0057	1908	Haagsche courant	UITVERKOOP	advertentie	0.6428571428571429	nl	06_Hunt_economical	\N	Regionaal/lokaal	\N	\N
